id;nome;descricao;de_mm;ate_mm;created;updated
1;Valley Corporate;New Taiwan Dollar;99952;50767;2020-07-07T08:47:02;2020-07-06T23:18:48
2;Germany Overpass;transmitter;8420;46254;2020-07-07T18:40:58;2020-07-07T04:00:32
3;Senior synergistic;Soft portals navigating;12159;64264;2020-07-07T14:10:09;2020-07-07T08:55:51
4;Shores Tasty;markets orange;10881;47639;2020-07-07T03:12:10;2020-07-06T23:01:09
5;grid-enabled protocol Lead;primary blue;84648;34377;2020-07-07T13:18:50;2020-07-07T18:14:19
6;Chicken Wooden feed;Gorgeous;53131;72112;2020-07-07T21:08:36;2020-07-06T23:10:21
7;Lakes;magenta Berkshire;5440;84324;2020-07-07T18:56:10;2020-07-07T11:24:47
8;Intelligent Netherlands Antillian Guilder;Rubber knowledge user Consultant;172;90436;2020-07-07T06:32:47;2020-07-07T22:01:43
9;conglomeration;Colorado intangible;25154;89163;2020-07-07T18:32:25;2020-07-07T03:22:19
10;analyzer Zloty;Switchable;62632;46106;2020-07-07T13:33:19;2020-07-07T01:25:23
