id;nome;contato;duracao;automatico;critico;observacao;alerta_pai_id;created;updated
1;interactive;Functionality;;true;false;Checking Account backing up;22304;2020-07-07T21:07:09;2020-07-07T18:13:04
2;Pants ROI Moldova;Gorgeous RAM port;;false;true;one-to-one cyan;7085;2020-07-07T10:26:32;2020-07-07T08:03:13
3;Checking Account regional platforms;Gorgeous Frozen Pizza Implementation;;true;false;Guyana Dollar cyan;9431;2020-07-07T15:03:36;2020-07-07T08:10:37
4;Networked Kazakhstan;transition Keys Bedfordshire;;false;false;XML mindshare Frozen;65980;2020-07-07T06:18:51;2020-07-07T08:26:43
5;quantifying Plastic Cambridgeshire;Representative architect;;false;false;repurpose Springs TCP;24309;2020-07-07T15:01:36;2020-07-07T01:36:56
6;Generic Steel Salad;Borders encoding Infrastructure;;true;true;District invoice;67810;2020-07-07T07:44:31;2020-07-07T10:23:22
7;Mouse Granite Eritrea;collaborative Wisconsin;;false;true;invoice;44631;2020-07-07T02:27:28;2020-07-07T15:20:26
8;purple Intranet;Bedfordshire;;true;true;Idaho Senior International;44114;2020-07-07T13:44:52;2020-07-07T15:18:30
9;Beauty;back up;;true;false;Usability;29652;2020-07-07T05:58:13;2020-07-07T06:49:19
10;withdrawal;Tasty Granite Bike;;false;false;District Sao Tome and Principe;76820;2020-07-07T14:06:06;2020-07-07T11:07:34
