id;nome;descricao;created;updated
1;salmon Innovative;Licensed multi-byte indigo;2020-07-07T04:13:10;2020-07-07T13:54:26
2;robust optical;flexibility Soft;2020-07-07T21:54:58;2020-07-07T13:24:58
3;national Tasty Buckinghamshire;initiatives compressing;2020-07-06T23:11:19;2020-07-07T09:21:08
4;Credit Card Account;pink Chief;2020-07-07T02:57:50;2020-07-07T12:25:37
5;Buckinghamshire Home;generating Metal;2020-07-07T21:57:02;2020-07-07T08:47:57
6;Wooden;purple Virgin Islands, British;2020-07-07T05:36:28;2020-07-07T20:48:43
7;Practical Plastic Hat;Louisiana;2020-07-07T15:24:22;2020-07-07T13:45:21
8;Buckinghamshire GB system engine;extranet Gorgeous Concrete Chicken brand;2020-07-07T09:23:14;2020-07-07T12:31:56
9;framework invoice Brand;Beauty transparent;2020-07-07T21:40:36;2020-07-07T07:08:47
10;payment;vortals;2020-07-07T00:34:17;2020-07-07T00:16:25
