id;nome;descricao;created;updated
1;Proactive deliverables Planner;Shoes Paradigm;2020-07-06T23:22:50;2020-07-07T00:29:30
2;Customizable;Avon Electronics;2020-07-07T20:28:37;2020-07-07T20:49:23
3;fresh-thinking;TCP;2020-07-07T12:05:46;2020-07-07T08:18:35
4;Dobra;Clothing primary Orchestrator;2020-07-07T08:13:48;2020-07-07T06:48:11
5;bypass;AGP;2020-07-07T06:31:58;2020-07-07T07:58:12
6;Gloves bypass Bedfordshire;application;2020-07-07T19:49:21;2020-07-07T10:10:03
7;Awesome Fresh Computer Baby;SMS drive frame;2020-07-06T22:38:21;2020-07-06T23:56:40
8;end-to-end Brand Right-sized;SAS;2020-07-07T20:17:31;2020-07-07T10:13:23
9;intangible;Soft GB;2020-07-07T06:16:26;2020-07-07T22:13:40
10;Salad implementation;context-sensitive Global;2020-07-07T12:17:25;2020-07-07T08:50:02
