id;nome;descricao;created;updated
1;Chair Buckinghamshire;Handcrafted Metal Fish hard drive RAM;2020-06-29T03:05:40;2020-06-30T02:58:44
2;Awesome Sports;budgetary management Chips Kip;2020-06-29T15:37:58;2020-06-29T08:54:30
3;synergy Rustic PCI;West Virginia Ergonomic Soft Fish Tuvalu;2020-06-29T15:05:10;2020-06-30T02:36:06
4;exploit;Chief;2020-06-29T06:32:00;2020-06-29T15:06:25
5;quantify Practical Fresh Pizza;Rand Namibia Dollar Chair Associate;2020-06-30T02:37:24;2020-06-29T20:14:53
6;benchmark;Kansas Associate Utah;2020-06-29T13:59:17;2020-06-29T13:54:45
7;sensor gold;Technician;2020-06-29T18:23:53;2020-06-29T11:17:18
8;cross-media Factors toolset;24/7 Movies;2020-06-29T22:39:00;2020-06-29T04:17:49
9;interface Analyst;ubiquitous;2020-06-29T19:17:19;2020-06-30T02:51:03
10;multi-byte Legacy;bypassing orchestration;2020-06-29T14:46:29;2020-06-29T12:19:12
