id;nome;descricao;created;updated
1;Handcrafted;Legacy Savings Account;2020-07-07T11:47:45;2020-07-07T12:07:39
2;Rustic Cotton Fish generating Brazilian Real;Configuration orchid neural;2020-07-07T18:18:34;2020-07-07T19:06:13
3;Grocery;bluetooth;2020-07-07T04:09:07;2020-07-07T20:30:16
4;next generation Coordinator;turquoise Quality-focused Netherlands Antillian Guilder;2020-07-07T09:49:49;2020-07-07T09:30:22
5;Guinea Branding;Manager 1080p;2020-07-07T06:25:56;2020-07-07T05:21:43
6;Personal Loan Account Licensed Soft Salad tertiary;Ville;2020-07-07T19:21:06;2020-07-06T22:45:53
7;Baht solutions;Practical Granite Hat Persistent;2020-07-07T13:47:59;2020-07-07T09:04:54
8;synthesizing open-source Bedfordshire;Avon indigo;2020-07-07T16:17:16;2020-07-07T22:31:04
9;Chief;Macedonia European Unit of Account 9(E.U.A.-9);2020-07-07T04:15:09;2020-07-07T18:29:41
10;grey Checking Account;reintermediate orchestration EXE;2020-07-07T13:40:50;2020-07-07T14:04:08
