id;nome;descricao;qtd;data_primeira_descarga;tempo_antecipacao;created;updated
1;revolutionize Organic Clothing;Soft Personal Loan Account Bedfordshire;91160;2020-07-07T04:00:02;;2020-07-07T14:55:41;2020-07-07T19:53:16
2;Programmable 1080p;Avon;77304;2020-07-07T18:37:37;;2020-07-07T07:38:31;2020-07-06T23:33:29
3;Avenue software Fantastic Wooden Sausages;Shores Philippine Peso secondary;26185;2020-07-07T16:06:21;;2020-07-07T15:57:45;2020-07-07T02:21:49
4;Shoes hub Czech Koruna;magenta;64652;2020-07-07T19:17:35;;2020-07-07T16:23:18;2020-07-06T23:21:23
5;Parkway RAM;supply-chains Keyboard architectures;3448;2020-07-07T07:40:48;;2020-07-07T18:05:31;2020-07-07T07:18:21
6;cultivate;SQL;93817;2020-07-07T04:22:11;;2020-07-07T21:15:55;2020-07-07T12:12:43
7;Crest;Solutions Mandatory indexing;81048;2020-07-07T05:42:36;;2020-07-07T03:25:58;2020-07-07T17:44:32
8;Fish Persistent;Focused Bedfordshire;1049;2020-07-07T12:44:28;;2020-07-07T16:30:49;2020-07-07T14:44:17
9;Home scalable bypassing;Optional input;37981;2020-07-07T11:30:41;;2020-07-07T13:12:10;2020-07-07T15:34:21
10;Car;Clothing GB maroon;67839;2020-07-07T01:35:56;;2020-07-07T06:58:03;2020-07-07T04:56:10
