id;nome;descricao;created;updated
1;Engineer Bouvet Island (Bouvetoya) ivory;Gateway neural;2020-07-07T19:04:10;2020-07-07T11:30:42
2;Wisconsin mindshare;Checking Account Legacy;2020-07-07T02:56:32;2020-07-07T01:25:36
3;Mali Frozen;convergence;2020-07-07T08:48:39;2020-07-07T20:24:27
4;United States Minor Outlying Islands;application Administrator;2020-07-07T15:01:33;2020-07-07T14:26:45
5;program payment;Toys Functionality indexing;2020-07-07T13:08:04;2020-07-07T19:08:53
6;monitor parse;Metrics challenge;2020-07-07T08:54:55;2020-07-07T02:33:30
7;Tasty Wooden Pants;portal bluetooth;2020-07-07T01:46:33;2020-07-07T10:20:50
8;Computers Quality-focused;Strategist XSS mobile;2020-07-07T22:09:21;2020-07-07T10:02:38
9;Wisconsin sky blue;magnetic Timor-Leste;2020-07-07T13:00:49;2020-07-07T09:46:33
10;Health Motorway Dynamic;Checking Account Investment Account;2020-07-07T10:26:05;2020-07-07T05:05:52
