id;nome;descricao;unidade;created;updated
1;analyzer convergence;Outdoors granular alarm;11755;2020-06-29T14:53:18;2020-06-29T20:38:39
2;Wooden;parsing gold;33971;2020-06-30T03:01:13;2020-06-29T06:20:32
3;Managed;Awesome Granite Tuna;91058;2020-06-30T00:33:23;2020-06-30T01:19:29
4;Parks Personal Loan Account;Architect;81192;2020-06-29T23:50:55;2020-06-29T12:46:58
5;hard drive;Customer Principal Principal;32915;2020-06-30T03:07:49;2020-06-29T07:16:22
6;payment;Harbors monitor;77734;2020-06-29T15:39:33;2020-06-29T23:39:27
7;synthesize;invoice;34931;2020-06-29T20:39:53;2020-06-29T07:48:14
8;mission-critical deposit;Credit Card Account;84402;2020-06-29T08:36:42;2020-06-30T03:06:35
9;Response;one-to-one;96559;2020-06-29T18:23:00;2020-06-29T21:58:10
10;Rustic monetize out-of-the-box;Soft;76733;2020-06-29T07:48:47;2020-06-29T16:59:26
