id;nome;descricao;created;updated
1;focus group Progressive deposit;invoice;2020-07-07T06:29:48;2020-07-07T22:00:38
2;Steel recontextualize;Fish hack;2020-07-07T22:46:53;2020-07-07T15:14:16
3;Toys software Rand Loti;repurpose purple;2020-07-07T03:11:50;2020-07-08T00:11:05
4;Andorra benchmark;THX;2020-07-08T02:06:26;2020-07-07T17:50:34
5;generating;sensor Credit Card Account Pizza;2020-07-07T04:22:46;2020-07-07T13:19:41
6;lavender;compressing;2020-07-07T09:02:36;2020-07-07T23:20:12
7;USB;Kina Netherlands HDD;2020-07-07T15:36:59;2020-07-08T01:27:36
8;initiative;Fantastic open system;2020-07-08T00:04:40;2020-07-07T03:22:28
9;task-force database invoice;Isle of Man HTTP;2020-07-07T12:01:46;2020-07-08T00:25:09
10;Curve Movies;Buckinghamshire Granite asymmetric;2020-07-07T20:53:14;2020-07-07T18:13:40
