id;nome;descricao;created;updated
1;schemas Keyboard;Metal;2020-07-07T19:18:35;14876
2;applications;Rhode Island;2020-07-07T07:26:53;83059
3;Awesome copying;Associate;2020-07-07T20:42:51;78354
4;Sports Creative Sri Lanka;optical web-readiness;2020-07-07T03:33:52;65771
5;Credit Card Account Bedfordshire;best-of-breed Incredible Wooden Hat;2020-07-07T05:34:45;10089
6;back up;matrix Auto Loan Account Organized;2020-07-07T18:36:57;28796
7;Money Market Account Chicken;open architecture array;2020-07-07T19:15:57;18880
8;Pizza niches;Tugrik alarm;2020-07-07T12:58:37;42957
9;Consultant;fuchsia Rubber;2020-07-07T11:56:09;76229
10;white;Leone invoice;2020-07-07T06:07:55;94754
