id;nome;descricao;faixa;created;updated
1;Uzbekistan;Designer back up COM;Agent Unbranded Granite Pants;2020-06-29T16:48:02;2020-06-29T07:24:46
2;empower;Money Market Account Money Market Account;morph web-readiness override;2020-06-29T13:08:20;2020-06-29T05:59:26
3;program;Maine Canada;index Intuitive;2020-06-29T07:54:55;2020-06-29T15:55:48
4;synthesize seize Chicken;Licensed Handcrafted;digital Synchronised Regional;2020-06-29T04:33:44;2020-06-29T11:51:00
5;Integration Solutions;programming Generic;unleash Ghana;2020-06-29T16:53:44;2020-06-29T07:04:17
6;harness Technician;deliver Togo Ohio;haptic Buckinghamshire;2020-06-29T21:19:26;2020-06-30T03:25:32
7;online Aruban Guilder generate;back-end Dynamic;transmit Ergonomic;2020-06-29T17:47:34;2020-06-30T01:47:13
8;Borders;COM neutral input;relationships Director Crossing;2020-06-29T13:01:48;2020-06-30T02:15:09
9;Integration bypass;Bedfordshire collaborative;invoice Rubber;2020-06-29T16:49:59;2020-06-29T21:20:30
10;Fresh niches programming;SMTP Functionality;mobile Configuration Bedfordshire;2020-06-29T11:48:02;2020-06-29T22:54:17
