id;nome;descricao;horainicio;duracao;created;updated
1;dedicated;optimize PCI iterate;;;2020-07-07T04:21:39;2020-07-07T10:05:26
2;Movies Paradigm context-sensitive;JSON Representative multi-byte;;;2020-07-07T17:31:26;2020-07-07T22:09:24
3;payment Sleek Cotton Fish;Outdoors;;;2020-07-08T01:03:15;2020-07-08T01:36:29
4;Arkansas whiteboard Sleek Fresh Fish;Producer Berkshire bypassing;;;2020-07-07T18:39:19;2020-07-07T03:38:13
5;Refined AGP Money Market Account;generate;;;2020-07-07T21:10:48;2020-07-07T23:30:49
6;Buckinghamshire Sweden;Fantastic Fish;;;2020-07-07T16:21:32;2020-07-07T10:44:07
7;Senior;Rhode Island Soap;;;2020-07-07T23:02:11;2020-07-07T17:38:14
8;Roads salmon redundant;transmitting;;;2020-07-07T14:54:46;2020-07-07T05:19:29
9;Salad;Extended modular olive;;;2020-07-07T16:24:23;2020-07-07T09:01:38
10;Human View;action-items reboot wireless;;;2020-07-07T16:37:25;2020-07-08T02:33:45
