id;name;texto;enviado;created;updated
1;Intelligent programming;redundant;false;2020-07-07T16:26:32;2020-07-07T14:18:55
2;enterprise;contingency Bedfordshire exploit;false;2020-07-07T14:02:04;2020-07-07T18:08:01
3;human-resource Bedfordshire Generic;Shoes deliver Small Plastic Pizza;true;2020-07-07T09:31:02;2020-07-08T01:59:57
4;Money Market Account;Granite;false;2020-07-07T15:48:25;2020-07-07T08:24:43
5;Virginia Keys;azure payment Representative;true;2020-07-07T10:31:46;2020-07-08T01:45:03
6;composite;card artificial intelligence Platinum;false;2020-07-07T07:46:05;2020-07-07T03:59:23
7;system virtual navigating;Nuevo Sol Granite e-business;false;2020-07-07T23:29:50;2020-07-07T20:15:55
8;efficient;even-keeled Money Market Account;false;2020-07-07T12:27:53;2020-07-07T09:44:43
9;well-modulated Oregon;navigate;false;2020-07-07T17:24:30;2020-07-07T21:47:27
10;next-generation indigo;neural JBOD interfaces;true;2020-07-07T12:57:58;2020-07-08T02:41:50
