id;name;descricao;horario_previsto;tracking_ativo;plr_ativo;codigo_widget_previsao;kml_alvo;zoom_min;dt_inicio_contrato;data_fim_contrato;horario_monit_inicio;horario_monit_final;blocos;extent;created;updated
1;standardization Handmade invoice;hack Madagascar Ergonomic Plastic Fish;37903;5784;59600;40014;Cotton;54818;2020-07-07;2020-07-07;;;pixel networks;Corporate;2020-07-07T04:12:03;2020-07-07T12:45:35
2;parsing;salmon Operations;79702;52749;24327;90577;Rue Eritrea Ohio;80401;2020-07-07;2020-07-07;;;engineer;zero defect quantify back up;2020-07-07T09:38:57;2020-07-07T14:40:46
3;Borders withdrawal;Communications Credit Card Account yellow;5228;22505;4615;17141;XSS invoice;16302;2020-07-07;2020-07-07;;;Buckinghamshire Investor;Pennsylvania Heights;2020-07-07T13:09:00;2020-07-07T03:47:25
4;parse Indiana;Tokelau Guinea hub;90169;74610;65222;92827;Parkway IB;18092;2020-07-07;2020-07-08;;;Macao Garden;groupware;2020-07-07T08:17:28;2020-07-07T11:19:20
5;matrix;SMTP seize;52905;20679;29274;13541;SDR microchip regional;12977;2020-07-07;2020-07-07;;;supply-chains auxiliary Handmade Concrete Ball;Unbranded;2020-07-07T16:25:29;2020-07-07T18:05:09
6;Upgradable;quantify Practical Granite Pizza Small;39744;43874;65999;55110;District incubate success;10314;2020-07-07;2020-07-07;;;Refined Steel Table Planner virtual;invoice Universal;2020-07-07T09:39:19;2020-07-07T04:36:21
7;Gorgeous Rubber Tuna killer HTTP;Sausages Keyboard platforms;90929;58319;32483;53499;Villages algorithm;30795;2020-07-07;2020-07-07;;;copying Computer gold;Rand Namibia Dollar proactive;2020-07-07T22:39:07;2020-07-08T00:46:57
8;Bolivar Fuerte;compress Turkish Lira;98673;59365;926;96716;even-keeled needs-based;42993;2020-07-07;2020-07-07;;;circuit Principal;Supervisor;2020-07-07T08:22:54;2020-07-07T18:19:43
9;Planner Iowa Books;bleeding-edge;55661;69664;44659;84007;Reactive Music;54426;2020-07-07;2020-07-07;;;Chips;Assurance;2020-07-07T20:02:15;2020-07-08T00:45:03
10;CFA Franc BCEAO next-generation Generic Soft Ball;Cotton Specialist;31539;75979;28465;23197;engage International;64161;2020-07-07;2020-07-07;;;Rustic transitional;Camp neural;2020-07-07T10:51:00;2020-07-07T23:47:09
