id;name;descricao;created;updated
1;quantifying Handmade Soft Computer;silver Terrace;2020-07-08T02:43:19;2020-07-07T04:20:43
2;USB programming;functionalities Ergonomic Fresh Hat compress;2020-07-07T11:36:09;2020-07-07T15:38:02
3;transmitting;deploy;2020-07-07T09:34:29;2020-07-07T09:51:09
4;Sierra Leone Generic Soft Bike;Accounts Course;2020-07-07T16:57:58;2020-07-08T01:34:16
5;bricks-and-clicks monetize;Outdoors digital fuchsia;2020-07-07T08:50:50;2020-07-07T04:56:30
6;grid-enabled Small;Front-line;2020-07-07T09:40:22;2020-07-07T23:52:29
7;Home Soap;FTP Buckinghamshire;2020-07-07T06:59:25;2020-07-07T09:27:37
8;Chief Unbranded Granite Bacon;blue;2020-07-07T18:16:06;2020-07-07T20:34:44
9;Future Gorgeous global;solution-oriented optical Sleek Rubber Pizza;2020-07-07T07:28:25;2020-07-07T21:31:47
10;Lake Implementation;Metal Customer;2020-07-07T17:58:47;2020-07-07T21:59:48
