id;name;descricao;created;updated
1;Checking Account;Pound Sterling;2020-07-07T20:15:05;2020-07-07T23:01:51
2;6th generation Tasty Wooden Shirt content-based;users;2020-07-07T18:31:42;2020-07-07T12:22:27
3;Unbranded;Buckinghamshire Shoes redefine;2020-07-07T16:28:21;2020-07-07T19:55:43
4;synthesize index National;Small;2020-07-07T20:34:46;2020-07-07T18:28:52
5;Cambridgeshire compressing;turquoise Jamaica New York;2020-07-07T14:28:20;2020-07-07T09:05:28
6;Antigua and Barbuda methodical;maroon;2020-07-07T10:10:27;2020-07-07T13:54:46
7;PCI;Practical Rubber Salad Automated Plastic;2020-07-07T20:49:42;2020-07-08T02:17:38
8;Small Plastic Tuna;Rupiah Borders CSS;2020-07-07T13:17:24;2020-07-08T01:44:10
9;Croatian Kuna;Handcrafted Cotton Chicken Program core;2020-07-08T00:47:08;2020-07-07T19:23:01
10;Shirt USB Kids;Ireland Andorra Consultant;2020-07-08T00:05:30;2020-07-07T23:50:36
