id;name;descricao;created;updated
1;Minnesota;Awesome coherent Future;2020-07-07T08:45:45;2020-07-07T03:27:23
2;Fresh Unbranded;synthesizing Palladium stable;2020-07-07T10:54:36;2020-07-08T02:39:56
3;Ergonomic;Mauritius platforms;2020-07-07T22:50:34;2020-07-07T09:12:19
4;Bacon;interface Rest Keyboard;2020-07-08T00:25:31;2020-07-07T22:58:32
5;connecting;Cambridgeshire Bedfordshire;2020-07-07T15:44:51;2020-07-07T19:19:39
6;Mouse North Carolina scale;Unbranded hierarchy;2020-07-07T05:24:45;2020-07-07T13:11:38
7;Small Fresh Pants;architect;2020-07-07T21:48:49;2020-07-07T06:02:33
8;deposit;Brand methodologies redundant;2020-07-07T07:02:57;2020-07-07T12:20:16
9;Incredible Balanced;quantifying Bedfordshire Rubber;2020-07-08T02:45:55;2020-07-07T23:13:03
10;Personal Loan Account Indiana;Rubber Bedfordshire Checking Account;2020-07-07T12:31:30;2020-07-07T09:01:23
