id;name;descricao;ativo;created;updated
1;compelling withdrawal Avon;Soap Monitored;false;2020-07-07T03:25:33;2020-07-07T18:46:54
2;matrix connecting invoice;Jewelery Extension;true;2020-07-07T15:34:57;2020-07-07T04:38:48
3;Hawaii;SMTP;false;2020-07-07T07:25:35;2020-07-07T08:36:14
4;Czech Koruna Democratic People's Republic of Korea Architect;withdrawal Bacon;true;2020-07-07T10:22:49;2020-07-07T04:36:43
5;Games Home Loan Account;United Kingdom Investment Account online;true;2020-07-07T03:58:55;2020-07-07T19:05:02
6;e-services Credit Card Account methodologies;Compatible Michigan;false;2020-07-07T21:43:11;2020-07-07T23:14:13
7;USB;asymmetric;true;2020-07-07T16:50:07;2020-07-07T17:07:37
8;mobile e-services IB;Maine;true;2020-07-07T16:53:25;2020-07-07T02:35:59
9;generate;Bacon infomediaries Andorra;false;2020-07-07T04:28:01;2020-07-07T18:35:14
10;Profit-focused deposit;Money Market Account;false;2020-07-07T08:59:29;2020-07-07T01:57:04
