id;name;descricao;template;created;updated
1;Colorado;Toys Clothing Mountain;silver;2020-07-07T14:38:20;2020-07-07T14:21:15
2;Operations virtual;payment;synthesize Rubber Shoes;2020-07-07T15:50:41;2020-07-07T20:02:24
3;Automotive lavender Saint Kitts and Nevis;Automotive Egyptian Pound;Open-architected Implementation;2020-07-07T09:55:17;2020-07-07T19:00:44
4;Berkshire;incentivize Ports;Cambridgeshire Money Market Account;2020-07-07T18:54:21;2020-07-07T03:30:58
5;sensor Intelligent;leverage middleware;Granite;2020-07-06T23:53:44;2020-07-07T08:20:33
6;Steel Soft;Forks American Samoa Track;technologies Optimization Future;2020-07-07T13:21:17;2020-07-07T12:06:59
7;Minnesota executive Organized;Bedfordshire Intranet;deposit;2020-07-07T04:58:51;2020-07-07T00:05:47
8;SSL efficient;Sleek Designer;Bedfordshire Granite;2020-07-07T17:22:22;2020-07-07T06:38:00
9;Creek Ethiopia Investment Account;Northern Mariana Islands Realigned quantifying;payment holistic Investment Account;2020-07-07T03:51:23;2020-07-07T02:09:43
10;Fords cultivate;extend Division;monitor payment e-commerce;2020-07-07T01:16:01;2020-07-07T20:54:47
