id;name;descricao;faixa;created;updated
1;Steel;real-time;24/7;2020-07-08T03:11:10;2020-07-07T18:54:59
2;Ethiopia vortals;Monitored Shoal Money Market Account;solid state;2020-07-07T18:28:38;2020-07-07T11:35:09
3;Soft demand-driven;Quality-focused navigating;District Automotive;2020-07-07T11:09:25;2020-07-07T10:14:09
4;Cliff orchid;system cyan;indexing capacitor Checking Account;2020-07-07T04:22:15;2020-07-08T02:27:50
5;Somali Shilling;Product Supervisor France;HDD;2020-07-07T20:29:16;2020-07-07T10:00:29
6;azure;Gibraltar Pound;synergistic;2020-07-08T03:02:06;2020-07-07T19:28:17
7;withdrawal withdrawal Village;system Palau Bedfordshire;Metrics Shirt;2020-07-07T08:32:00;2020-07-07T21:13:15
8;Auto Loan Account THX payment;Chief New Taiwan Dollar teal;out-of-the-box Granite South Georgia and the South Sandwich Islands;2020-07-07T22:53:33;2020-07-07T17:39:25
9;Table visionary Handmade Concrete Keyboard;Chicken Engineer XML;Computer;2020-07-07T07:52:47;2020-07-07T22:05:06
10;Grass-roots Handmade Rubber;harness system;International architectures;2020-07-07T21:54:35;2020-07-07T17:31:02
