id;name;descricao;ativo;created;updated
1;Health bluetooth multi-byte;Fresh;false;2020-07-07T17:23:29;2020-07-07T14:59:37
2;Investment Account;Moldova Engineer Savings Account;true;2020-07-07T13:15:19;2020-07-07T21:13:26
3;harness bandwidth Tasty;Rubber invoice supply-chains;true;2020-07-07T05:15:17;2020-07-07T11:58:43
4;wireless Personal Loan Account;evolve strategic;true;2020-07-07T21:07:41;2020-07-07T09:25:10
5;Pennsylvania;structure;true;2020-07-07T15:03:55;2020-07-07T20:02:59
6;compress;asynchronous;false;2020-07-07T00:44:59;2020-07-07T00:46:44
7;Personal Loan Account bus Tasty Soft Chair;supply-chains deliverables robust;true;2020-07-07T13:37:20;2020-07-07T15:32:11
8;Monitored;Metal neural Minnesota;false;2020-07-07T17:27:55;2020-07-07T04:30:44
9;local area network;Codes specifically reserved for testing purposes USB;false;2020-07-07T04:45:59;2020-07-07T16:32:26
10;Computers Refined Steel Car Architect;application;false;2020-07-07T03:54:50;2020-07-07T12:44:49
