id;name;descricao;created;updated
1;calculating Cloned East Caribbean Dollar;quantify;2020-07-07T22:40:14;2020-07-08T03:03:50
2;Groves bypass;orchid magenta;2020-07-07T07:50:58;2020-07-07T22:49:03
3;port;repurpose;2020-07-07T03:19:37;2020-07-07T11:03:43
4;conglomeration;B2C moderator;2020-07-07T14:07:16;2020-07-07T06:15:57
5;Wooden Denmark;Awesome Extended Advanced;2020-07-07T04:44:58;2020-07-07T15:53:52
6;bus Interactions Brand;Digitized;2020-07-07T23:36:35;2020-07-07T13:56:24
7;Loop;Keyboard sexy;2020-07-07T08:45:52;2020-07-07T15:10:39
8;Plastic programming;Shoes Bedfordshire Shirt;2020-07-08T03:15:36;2020-07-07T09:26:08
9;technologies maximize;schemas;2020-07-07T19:05:17;2020-07-07T22:34:08
10;Switzerland;didactic Canadian Dollar;2020-07-07T04:43:13;2020-07-07T13:58:50
